player_id,player_name,rank,event_id,projected_rating
9366,Player_1,1,6683,-2.248766822
9536,Player_2,2,6683,-2.229084808
2947,Player_3,3,6683,-2.104538113
5792,Player_4,4,6683,-2.036457347
4482,Player_5,5,6683,-2.021998509
4762,Player_6,6,6683,-2.015184753
5654,Player_7,7,6683,-1.999779747
261,Player_8,8,6683,-1.93393094
4230,Player_9,9,6683,-1.901899704
6840,Player_10,10,6683,-1.863602268
247,Player_11,11,6683,-1.841993055
2148,Player_12,12,6683,-1.747319924
7203,Player_13,13,6683,-1.701610746
8824,Player_14,14,6683,-1.666232146
8867,Player_15,15,6683,-1.590708918
3011,Player_16,16,6683,-1.57503244
1426,Player_17,17,6683,-1.512293922
3445,Player_18,18,6683,-1.463744312
9425,Player_19,19,6683,-1.424428535
6868,Player_20,20,6683,-1.401307998
9380,Player_21,21,6683,-1.399000598
4100,Player_22,22,6683,-1.384518959
8381,Player_23,23,6683,-1.375845922
4866,Player_24,24,6683,-1.361958287
4179,Player_25,25,6683,-1.3381228
2404,Player_26,26,6683,-1.334179537
9296,Player_27,27,6683,-1.298490234
9701,Player_28,28,6683,-1.290338218
4132,Player_29,29,6683,-1.267083818
6021,Player_30,30,6683,-1.261000287
3078,Player_31,31,6683,-1.254775099
9157,Player_32,32,6683,-1.225672602
7813,Player_33,33,6683,-1.220489238
1326,Player_34,34,6683,-1.190902996
9989,Player_35,35,6683,-1.173892789
5467,Player_36,36,6683,-1.165853788
957,Player_37,37,6683,-1.163842273
1040,Player_38,38,6683,-1.148194041
6621,Player_39,39,6683,-1.13167857
3007,Player_40,40,6683,-1.124806597
4083,Player_41,41,6683,-1.122388568
5941,Player_42,42,6683,-1.121836145
1900,Player_43,43,6683,-1.080026497
4491,Player_44,44,6683,-1.071261175
2374,Player_45,45,6683,-1.070226287
433,Player_46,46,6683,-1.058509473
4364,Player_47,47,6683,-1.055415502
2459,Player_48,48,6683,-1.034852619
3918,Player_49,49,6683,-1.017139064
5736,Player_50,50,6683,-1.015556877
4836,Player_51,51,6683,-0.99859413
2361,Player_52,52,6683,-0.994717037
9273,Player_53,53,6683,-0.994703714
7775,Player_54,54,6683,-0.985330042
6704,Player_55,55,6683,-0.975285513
1034,Player_56,56,6683,-0.959242775
2042,Player_57,57,6683,-0.953846387
9239,Player_58,58,6683,-0.948758662
292,Player_59,59,6683,-0.936437355
1401,Player_60,60,6683,-0.932338331
2467,Player_61,61,6683,-0.906343443
1512,Player_62,62,6683,-0.874166354
3328,Player_63,63,6683,-0.848264303
9927,Player_64,64,6683,-0.83672345
62,Player_65,65,6683,-0.833050384
520,Player_66,66,6683,-0.832273146
3856,Player_67,67,6683,-0.826853524
6337,Player_68,68,6683,-0.823442506
5403,Player_69,69,6683,-0.81943165
6616,Player_70,70,6683,-0.817885139
2784,Player_71,71,6683,-0.816513811
3941,Player_72,72,6683,-0.810197356
5460,Player_73,73,6683,-0.805345606
5246,Player_74,74,6683,-0.803493276
5701,Player_75,75,6683,-0.79339175
273,Player_76,76,6683,-0.781814599
2776,Player_77,77,6683,-0.76371174
4260,Player_78,78,6683,-0.762049882
8863,Player_79,79,6683,-0.752742706
8162,Player_80,80,6683,-0.721016939
6948,Player_81,81,6683,-0.707552425
2371,Player_82,82,6683,-0.70619997
847,Player_83,83,6683,-0.673628356
4853,Player_84,84,6683,-0.668846073
6046,Player_85,85,6683,-0.665936671
